artist,ontour,listeners,playcount
Gen Hoshino,0,190339,3347034
Ben Woodward,0,41722,266180
Ingrid Michaelson,0,1362559,27201134
Kina Grannis,0,527258,6093614
Chord Overstreet,0,338001,3494136
Tyrone Wells,0,251205,2398756
A Great Big World,0,780769,7877170
Jason Mraz,1,3078105,75765618
Jason Mraz,1,3078105,75765618
Ross Copperman,0,148497,1167311
Zack Tabudlo,0,198762,7836768
Dan Berk,0,54440,208801
Anna Hamilton,0,13416,71475
Chord Overstreet,0,338001,3494136
Landon Pigg,0,301673,2667607
Andrew Foy,0,27150,208262
Boyce Avenue,1,640431,16966939
Boyce Avenue,1,640431,16966939
Brandi Carlile,1,804401,14828855
KT Tunstall,1,1792553,29381907
Brandi Carlile,1,804401,14828855
Eddie Vedder,0,1226394,37317453
Brandi Carlile,1,804401,14828855
Highland Peak,0,21495,79542
Motohiro Hata,0,104805,1005402
Andrew Belle,0,452560,6784438
Ron Pope,0,377199,4389726
Adam Christopher,0,56976,273096
Aron Wright,0,84685,620208
Sara Bareilles,0,1934077,38118373
Kurt Cobain,0,579762,7985785
Tim Halperin,0,80236,473292
Canyon City,0,117767,1050320
Aaron Espe,0,144890,644389
Tyler Ward,0,293673,3073627
Five For Fighting,1,910451,10024679
Bailey Jehl,0,48234,201805
Ingrid Michaelson,0,1362559,27201134
A Great Big World,0,780769,7877170
Eddie Vedder,0,1226394,37317453
Drew Holcomb & The Neighbors,0,203180,1779377
Gabrielle Aplin,1,644983,11471415
The Civil Wars,0,834238,14692710
Callum J Wright,0,28856,101688
Boyce Avenue,1,640431,16966939
Boyce Avenue,1,640431,16966939
Gabrielle Aplin,1,644983,11471415
Mone Kamishiraishi,0,19872,219121
John Adams,0,310252,2194713
Kitri,0,31941,388153
Augustana,1,733904,13537079
Matthew Perryman Jones,0,181377,1625497
Ray LaMontagne,0,1398649,24992093
Meg Birch,0,11281,60152
Catherine Feeny,0,210539,1836545
Joshua Hyslop,0,175699,1216778
JJ Heller,0,88437,1110829
Howie Day,0,1043438,10337745
Ben Rector,1,272593,4064074
Matt Nathanson,0,911672,12648171
Rachael Yamagata,0,711823,10327645
Parachute,0,553327,7666268
Susie Suh,0,229034,1588685
Tyler Ward,0,293673,3073627
Eden Elf,0,32252,136598
Boyce Avenue,1,640431,16966939
Cary Brothers,0,614885,5506798
The Mayries,0,158320,1175483
Joseph Sullinger,0,30299,207302
Zack Tabudlo,0,198762,7836768
Tobey Rosen,0,16099,52459
Aqualung,0,845563,10762519
Tyler Ward,0,293673,3073627
Agustín Amigó,0,34662,241964
Amy Stroup,0,71943,490714
Boyce Avenue,1,640431,16966939
Caleb Santos,0,18255,108871
Priscilla Ahn,0,407695,4610633
Jon Bryant,1,109030,665408
Donovan Woods,0,181025,1617209
Angelina Cruz,0,1988,8128
